C,V,F,NOME CLIENTE,DOMINIO,DNS,DOMINIO PREZZO,DOMINIO COSTO,SCADENZA DOMINIO,HOSTING,HOSTING COSTO,SCADENZA HOSTING,POSTA,POSTA COSTO,SCADENZA POSTA,SMTP,SMTP COSTO,SCADENZA SMTP,ANTI, ANTI COSTO,SCADENZA ANTISPAM,SSL,PEC,PEC COSTO,SCADENZA PEC,COOKIEBOT,COOKIEBOT COSTO,AUT,EYE,MOBILE SYNC,TOTALE,TOT COSTO,TOTALE 2,SERVER,SPAZIO,SPAZIO UTILIZZATO (gen 22),TRAFFICO,CMS,PG SITO,NOTE
,,Da fatturare,TRANSATLANTIC ADVISORY,transatlantic-advisory.com,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,Da fatturare,TRÉDUNION,trédunion.com,Siteground,"€0,00",,,,,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,"€132,00","€86,00",,,,"€132,00","€86,00",,,,,,,,
,,Da fatturare,UBH REAL ESTATE Srl,ubhre.it,Register,"€50,00","€15,00",23/11/2022,"€140,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€220,00","€15,00","€270,00",002,1 Gb,"3,4 Gb",,SLAMP,,Posta in gestione a Marco Scurati  - OFFICE 365 - PROPOSTA DI HOSTING
,,Da fatturare,UBH REAL ESTATE Srl,club-bfly.it,Register,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€0,00","€0,00",,,,,,,,Non è più presente
,,Fatturato 2022,VERDE PROFILO,verdeprofilo.com,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00",,001,2 Gb,"1,8 Gb",,SLAMP,,PROPOSTA DI HOSTING
,,Fatturato 2022,VERDE PROFILO,,Altro,"€0,00",,,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€270,00","€0,00",,HOS REGISTER,,,,WP,,
,,,UniBA ASD,,,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,,Usd Acli Mantovani Volley Ancona,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,,Uyba Volley SSDRL,,,,,,,,,,,,,,,,,,,,,,,,"€49,00",,,"€49,00","€0,00",,,,,,,,
,,Fatturato 2022,VIDEOCINE 2000 Srl,videocine2000.it,Register,"€50,00","€15,00",19/10/2022,"€140,00",,,"€45,00","€23,05",4883757.        21/10/2022,"€15,00","€9,10",21/10/2022,"€38,00","€18,90",21/10/2022,"€30,00","€0,00",,,,,,,,"€318,00","€66,05",,001,1 Gb,335 Mb,,SLAMP,,
,,Fatturato 2022,VILLA TAPPEZZIERI,villatappezzieri.com,Register,"€50,00","€15,00",18/12/2022,"€90,00",,,"€19,00","€9,80",03/02/2023,"€15,00","€9,10",20/05/2022,"€38,00","€18,90",03/02/2023,"€30,00","€0,00",,,,,,,,"€242,00","€52,80","€292,00",002,500 Mb,300 Mb,,SLAMP,,
,,Fatturato 2022,VILLA TAPPEZZIERI,villasnc.it,Register,"€50,00","€15,00",19/02/2023,"€0,00",,,"€19,00","€9,80",8477281.        04/11/2022,"€15,00","€9,10",04/11/2022,"€38,00","€18,90",04/11/2022,"€0,00","€0,00",,,,,,,,"€122,00","€52,80",,,,,,,,
,,DA VERIFICARE,PURR & GROWL di SARAH OTTONI,purrgrowl.it,Register,,"€15,00",12/05/2022,,"€30,55",16/06/2022,,,,,,,,,,,,,,,,,,,"€0,00","€45,55",,-,-,-,,-,,
,,DA VERIFICARE,PURR & GROWL di SARAH OTTONI,purrgrowl.com,Register,,"€15,00",02/10/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,Fatturato 2022,VILLA TEODORO,villateodoro.it,Register,"€50,00","€15,00",12/09/2022,"€90,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€170,00","€15,00",,002,,90 Mb,,SLAMP,,
,,Fatturato 2022,VIRGILIOLEX,virgiliolex.it,Register,"€50,00","€15,00",19/02/2022,"€140,00","€10,50",19/02/2022,"€45,00","€34,60","14003545         05/05/2022
14003542         05/05/2022","€15,00","€9,10",19/02/2022,"€38,00","€18,90",13/01/2023,"€30,00","€0,00",,,,,,,"€9,50","€318,00","€97,60","€318,00",001,1 Gb,150 Mb,,SLAMP,,
,,Fatturato 2022,WHY NOT,biscotteriavimercate.it,Register,"€50,00","€6,90",25/01/2023,"€90,00",,,"€19,00","€27,10","01/02/2023
01/12/2022","€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€189,00","€34,00",,001,500 Mb,25 Mb,,,,HTML
,,Fatturato 2022,XONOX,xonox.it,Register,"€50,00","€15,00",27/09/2022,"€140,00","€30,55",16/10/2022,"€133,00","€38,75","10618732.         09/06/2022
8385431           25/09/2022","€15,00","€9,10",25/09/2022,"€0,00",,,"€30,00","€0,00",,,,,,,"€4,75","€368,00","€98,15",,,,,,,,Solo posta - In gestione a Marco Scurati  - OFFICE 365
,,Fatturato 2022,ZAFFI,zaffi.it,Register,"€50,00","€15,00",02/11/2022,"€240,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€30,00","€0,00",,,,,,,,"€320,00","€15,00","€320,00",-,,,,WP,,
,,Fatturato 2022,ZAFFI,zaffy.it,Register,"€50,00",,,"€0,00","€30,55",11/10/2022,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€50,00","€30,55","€50,00",Cpanel,,,,WP,,
,,Fatturato 2022,ZAFFI,shop.zaffy.it,Register,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00",,,"€0,00","€0,00",,,,,,,,"€0,00","€0,00","€0,00",003,,342 Mb,,WP,,
,,,Volley 36 Plus ASD,,,,,,,,,,,,,,,,,,,,,,,,"€10,00",,,"€10,00","€0,00",,,,,,,,
,,DA VERIFICARE,ZUCCHE IN PIAZZA,zuccheinpiazza.it,Register,,"€15,00",09/04/2022,,"€30,55",29/07/2022,,,,,,,,,,,,,,,,,,,"€0,00","€45,55",,,,,,,,
,,DA VERIFICARE,GALVO,galvogestioni.it,Register,,"€15,00",29/07/2022,,,,,"€9,80",8444737.       21/10/2022,,"€9,10",21/10/2022,,"€18,90",21/10/2022,,,,,,,,,,"€0,00","€52,80",,,,,,,,
,,DA VERIFICARE,CICLOVIA LEALE,ciclovialeale.eu,Register,,"€15,00",27/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,CICLOVIA LEALE,ciclovialeale.it,Register,,"€6,90",27/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€6,90",,002,,670 Mb,,,,
,,DA VERIFICARE,CICLOVIA LEALE,ciclovialeale.com,Register,,"€9,90",27/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€9,90",,,,,,,,
,,DA VERIFICARE,,augmented-relaxation.com,Register,,"€15,00",31/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,augmented-sonorization.com,Register,,"€15,00",31/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,sonorizzazione-aumentata.it,Register,,"€15,00",31/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,rilassamento-aumentato.it,Register,,"€15,00",31/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,augmented-hypnosis.com,Register,,"€15,00",31/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,ipnosi-aumentata.it,Register,,"€15,00",31/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,mindfulness-aumentata.it,Register,,"€15,00",07/09/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,,tracciati-dealer.it,Register,,"€15,00",21/09/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,PDRCERT,pdrcert.com,Register,,"€15,00",16/09/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,002,,"6,3 Gb",,,,
,,DA VERIFICARE,GARDENDESK,gardendesk.com,Register,,"€30,55",16/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€30,55",,,,,,,,
,,DA VERIFICARE,MW ZANDER,mw-zanderitalia.it,Register,,"€15,00",11/12/2022,,"€81,40",19/12/2022,,,,,,,,,,,,,,,,,,,"€0,00","€96,40",,,,,,,,
,,DA VERIFICARE,,mettitiinrete.it,Register,,"€15,00",26/12/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,MICHELA NATOLI,centropsicologiavimercate.com,Register,,"€15,00",02/11/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,002,,250 Mb,,,,
,,DA VERIFICARE,,farelegami.it,Register,,"€15,00",07/10/2022,,,,,"€19,60","9520319.       05/11/2022
9519942.       05/11/2022",,"€9,10",05/11/2022,,,,,,,,,,,,,"€0,00","€43,70",,,,,,,,
,,DA VERIFICARE,dariomaria.gattini,dariomaria.gattini@pec-mail.it,Register,,,,,,,,,,,,,,,,,,"€19,00",06/11/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,DA VERIFICARE,obc,obc@pec-mail.it,Register,,,,,,,,,,,,,,,,,,"€19,00",06/11/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,DA VERIFICARE,scenaperta,scenaperta@pec-mail.it,Register,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,,,,,,,
,,DA VERIFICARE,recalcatiserramenti,recalcatiserramenti@pec-mail.it,Register,,,,,,,,,,,,,,,,,,"€19,00",12/11/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,DA VERIFICARE,taniaeugeniaradaelli,taniaeugeniaradaelli@pec-mail.it,Register,,,,,,,,,,,,,,,,,,"€19,00",13/11/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,DA VERIFICARE,andrearebosio,andrearebosio@pec-mail.it,Register,,,,,,,,,,,,,,,,,,"€19,00",14/11/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,DA VERIFICARE,vincenzo dambrosio,vincenzo.dambrosio@pec-mail.it,Register,,,,,,,,,,,,,,,,,,"€19,00",24/11/2022,,,,,,"€0,00","€19,00",,,,,,,,
,,DA VERIFICARE,wrapo,wrapo.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,001,,90 Mb,,,,
,,DA VERIFICARE,Mimes,mimes.it,Register,,"€15,00",26/10/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,DA VERIFICARE,ARTEMIDE,artemiderisolve.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,106 Mb,,,,
,,DA VERIFICARE,POLO4,polo4.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,70 Mb,,,,
,,DA VERIFICARE,REV MILANO,revmilano.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,002,,200 Mb,,,,
,,DA VERIFICARE,CASCINA BIBLIOTECA ,inclusivipernatura.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,003,,670 Mb,,,,
,,DA VERIFICARE,FPBNL,terrazzerondo.quifondo.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,003,,145 Mb,,,,
,,DA VERIFICARE,FPBNL,quifondo.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,004,,500 Mb,,,,
,,DA VERIFICARE,RATASHOP,ratashop.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,004,,"3,8 Gb",,,,
,,DA VERIFICARE,NICOLA PORTINARO,nicolaportinaro.it,Altro,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,Cpanel,,,,,,
,,DA VERIFICARE,SENTIERI DEL CINEMA,sentieridelcinema.it,Siteground,,,,,,,,,,,,,,,,,,,,,,,,,"€0,00","€0,00",,Siteground,,,,,,
,,BRAND039,LIBERALAMENTE,liberalamente.me,Register,,"€15,00",07/08/2022,,"€21,00",,,,,,,,,,,,,,,,,,,,"€0,00","€36,00",,,,,,,,
,,BRAND039,AUTOCERT,autocert.me,Register,,"€15,00",25/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,BRAND039,EYESCLOUD,eyescloud.it,Register,,"€15,00",29/08/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,Cpanel,,,,,,
,,BRAND039,EYESCLOUD,eyescard.it,Register,,"€15,00",15/12/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,BRAND039,ALEX,alexanderterkuile.it,Register,,"€15,00",08/07/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,BRAND039,BLUKIWI,blukiwi.it,Register,,"€15,00",04/07/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,BRAND039,BRAND039,brand039.eu,Register,,"€43,15",21/10/2022,,,,,,,,,,,"€2,70",21/10/2022,,,,,,,,,,"€0,00","€45,85",,,,,,,,
,,BRAND039,BRAND039,brand039.com,Register,,,,,,,,"€23,05",8423552.       11/10/2022,,"€9,10",11/10/2022,,"€18,90",11/10/2022,,,"€19,80",02/11/2022,,,,,,"€0,00","€70,85",,,,,,,,
,,BRAND039,BRAND039,brand039.it,Register,,"€15,00",08/12/2022,,,,,,,,,,,,,,,,,,,,,,"€0,00","€15,00",,,,,,,,
,,BRAND039,BRAND039,,,,"€130,90",,,,,,,,,,,,,,,,,,,,,,,"€0,00","€130,90",,,,,,,,
,,BRAND039,NO CLIENTI,,,,"€221,30",,,,,,,,,,,,,,,,,,,,,,,"€0,00","€221,30",,,,,,,,
,,,,,,"€4.775,00",,,"€15.429,00",,,"€1.395,00",,,"€525,00",,,"€798,00",,,"€2.416,00","€760,00",,,,,"€1.197,00","€7,00",,"€37.051,00","€7.650,01",,,,,,,,
